,Original Dataset R²,GWO Reduced Dataset R²,R² Difference,Original Training Time (s),Reduced Training Time (s),Time Savings (%)
Linear Regression,0.2442835222061447,-0.019976036274814923,-0.2642595584809596,0.012082576751708984,0.0038688182830810547,67.9801886420143
SVM Regression,-0.006466309807105386,-0.011202051385582612,-0.004735741578477226,0.05132102966308594,0.05023074150085449,2.1244471698814382
Random Forest,0.9977813214013709,0.11025799695354166,-0.8875233244478292,0.292158842086792,0.47403669357299805,-62.253071030509965
Gradient Boosting,0.9952401658203778,0.02034787828185236,-0.9748922875385254,0.3038816452026367,0.2194197177886963,27.794349789576422
